table,source_key,source_title,source_url,data_origin
modality_mix,KHAN_2022_ECONOMICS,Khan BA et al. Health economics of kidney replacement therapy in Singapore: Taking stock and looking ahead. Ann Acad Med Singap. 2022.,https://annals.edu.sg/health-economics-of-kidney-replacement-therapy-in-singapore-taking-stock-and-looking-ahead/,Singapore health economics discussion of kidney replacement therapy
transitions,KHAN_2022_ECONOMICS,Khan BA et al. Health economics of kidney replacement therapy in Singapore: Taking stock and looking ahead. Ann Acad Med Singap. 2022.,https://annals.edu.sg/health-economics-of-kidney-replacement-therapy-in-singapore-taking-stock-and-looking-ahead/,Singapore health economics discussion of kidney replacement therapy
assumptions,KHOO_2022_OUTCOMES,Khoo CY et al. Death and cardiovascular outcomes in end-stage renal failure patients on different modalities of dialysis. Ann Acad Med Singap. 2022.,https://annals.edu.sg/death-and-cardiovascular-outcomes-in-end-stage-renal-failure-patients-on-different-modalities-of-dialysis/,Singapore population-based dialysis modality outcome study
clinical_evidence,KHOO_2022_OUTCOMES,Khoo CY et al. Death and cardiovascular outcomes in end-stage renal failure patients on different modalities of dialysis. Ann Acad Med Singap. 2022.,https://annals.edu.sg/death-and-cardiovascular-outcomes-in-end-stage-renal-failure-patients-on-different-modalities-of-dialysis/,Singapore population-based dialysis modality outcome study
transitions,KHOO_2022_OUTCOMES,Khoo CY et al. Death and cardiovascular outcomes in end-stage renal failure patients on different modalities of dialysis. Ann Acad Med Singap. 2022.,https://annals.edu.sg/death-and-cardiovascular-outcomes-in-end-stage-renal-failure-patients-on-different-modalities-of-dialysis/,Singapore population-based dialysis modality outcome study
assumptions,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
clinical_evidence,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
modality_mix,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
model_scope,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
transitions,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
uptake,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target
population,NKF_KEY_STATS,National Kidney Foundation Singapore. Key Statistics,https://nkfs.org/about-us/key-statistics/,Singapore kidney failure and dialysis burden statistics
assumptions,SG_MTE_METHODS,Singapore Medical Technology Evaluation Methods and Process Guide,https://www.ace-hta.gov.sg/resources/process-methods/,Singapore medical technology evaluation methods source
model_scope,SG_MTE_METHODS,Singapore Medical Technology Evaluation Methods and Process Guide,https://www.ace-hta.gov.sg/resources/process-methods/,Singapore medical technology evaluation methods source
clinical_evidence,YANG_2016_CEA,"Yang F, Lau T, Luo N. Cost-effectiveness of haemodialysis and peritoneal dialysis for patients with end-stage renal disease in Singapore. Nephrology. 2016.",https://pubmed.ncbi.nlm.nih.gov/26566750/,Singapore peer-reviewed cost-effectiveness model
costs,YANG_2016_CEA,"Yang F, Lau T, Luo N. Cost-effectiveness of haemodialysis and peritoneal dialysis for patients with end-stage renal disease in Singapore. Nephrology. 2016.",https://pubmed.ncbi.nlm.nih.gov/26566750/,Singapore peer-reviewed cost-effectiveness model
utilities,YANG_2016_CEA,"Yang F, Lau T, Luo N. Cost-effectiveness of haemodialysis and peritoneal dialysis for patients with end-stage renal disease in Singapore. Nephrology. 2016.",https://pubmed.ncbi.nlm.nih.gov/26566750/,Singapore peer-reviewed cost-effectiveness model
utilities,YANG_2018_PD_HRQoL,Yang F et al. Health-Related Quality of Life in Patients Treated with Continuous Ambulatory Peritoneal Dialysis and Automated Peritoneal Dialysis in Singapore.,https://link.springer.com/article/10.1007/s41669-017-0046-z,Singapore PD health-related quality-of-life evidence
